bc,sample,Celltype,Phase
603577,G13,LMPP,S
511276,NTC,LMPP,S
268059,G13,LMPP,G2M
651992,G13,LMPP,S
354695,AZD,LMPP,S
752830,NTC,MEP1,S
92888,G13,LMPP,G2M
421277,NTC,CMP,G2M
45843,AZD,MEP1,G2M
531342,G13,LMPP,G2M
801753,G13,LMPP,S
814156,NTC,LMPP,G2M
468270,AZD,LMPP,G2M
741014,NTC,LMPP,G2M
577943,NTC,LMPP,G2M
89002,G13,LMPP,G2M
268800,NTC,LMPP,G2M
555031,G13,LMPP,S
278861,AZD,MEP1,G2M
459870,G13,MEP1,G1
547679,AZD,MEP1,G2M
602369,AZD,MEP1,G2M
359577,G13,LMPP,G2M
456417,NTC,MEP1,S
543688,AZD,CMP,G2M
614975,G13,LMPP,S
17059,G13,LMPP,G2M
7388,AZD,LMPP,G2M
456171,AZD,MEP1,S
453815,NTC,LMPP,S
475275,AZD,LMPP,G2M
106366,G13,LMPP,S
234902,AZD,LMPP,S
548319,NTC,LMPP,S
76949,G13,LMPP,G2M
586686,AZD,LMPP,S
502572,G13,MEP1,S
555720,NTC,LMPP,S
454957,NTC,LMPP,S
610495,AZD,MEP1,S
355052,NTC,LMPP,S
550091,G13,LMPP,S
12748,G13,LMPP,G2M
18461,NTC,LMPP,G2M
67984,AZD,LMPP,G2M
624890,NTC,LMPP,G2M
447978,G13,MEP1,S
543205,NTC,LMPP,S
505840,G13,LMPP,G2M
656783,NTC,LMPP,G2M
661566,NTC,LMPP,G2M
536180,G13,MEP1,S
304699,NTC,LMPP,G2M
579434,NTC,LMPP,S
465084,AZD,CMP,G1
597984,G13,LMPP,S
764127,NTC,LMPP,G2M
432839,AZD,LMPP,G2M
548882,G13,LMPP,S
384857,AZD,LMPP,S
499882,AZD,LMPP,S
590395,G13,LMPP,G1
558771,AZD,LMPP,S
41317,G13,LMPP,S
6306,NTC,MEP1,S
594953,NTC,LMPP,G2M
115419,NTC,LMPP,G2M
307826,NTC,LMPP,G2M
459917,NTC,LMPP,G2M
252276,G13,LMPP,G2M
587768,G13,LMPP,S
288665,AZD,LMPP,S
492798,G13,LMPP,G2M
11993,G13,LMPP,G2M
14517,NTC,LMPP,S
557135,AZD,CMP,G2M
456799,NTC,LMPP,S
845630,NTC,LMPP,G2M
723128,G13,LMPP,S
206165,G13,LMPP,G2M
608961,AZD,LMPP,S
464323,G13,LMPP,S
439729,NTC,LMPP,G2M
453726,G13,MEP1,S
586778,AZD,LMPP,S
471866,AZD,LMPP,S
444328,G13,LMPP,S
656984,AZD,LMPP,G2M
523276,AZD,MEP1,G2M
102827,NTC,LMPP,S
453947,AZD,LMPP,S
655828,G13,LMPP,S
350414,G13,LMPP,G2M
235520,NTC,LMPP,S
655673,AZD,LMPP,G1
145452,AZD,LMPP,G1
352647,AZD,MEP1,S
108155,AZD,CMP,G2M
46634,NTC,LMPP,G2M
461337,G13,LMPP,S
80062,G13,LMPP,S
498023,G13,LMPP,S
561688,NTC,LMPP,G2M
584717,NTC,LMPP,S
859522,NTC,LMPP,G2M
616297,AZD,LMPP,G1
206813,NTC,LMPP,S
359187,AZD,LMPP,G2M
454789,AZD,LMPP,S
164189,NTC,LMPP,G2M
69314,G13,MEP1,S
452143,G13,LMPP,G2M
499218,NTC,LMPP,S
457636,AZD,LMPP,S
105060,G13,LMPP,G2M
88907,G13,LMPP,G2M
256159,NTC,LMPP,G2M
459410,AZD,LMPP,G2M
3891,G13,MEP1,S
15814,NTC,LMPP,G1
633073,AZD,MEP1,G2M
6151,NTC,MEP1,S
306888,NTC,LMPP,G2M
543273,G13,LMPP,S
307384,NTC,LMPP,S
200160,NTC,LMPP,G2M
424207,G13,LMPP,S
624613,NTC,LMPP,S
404308,NTC,LMPP,S
527513,AZD,LMPP,G2M
357231,AZD,LMPP,S
91752,NTC,LMPP,S
616218,G13,MEP1,S
536522,NTC,LMPP,S
163301,G13,LMPP,S
573456,NTC,LMPP,S
767739,NTC,MEP1,S
138693,AZD,MEP1,S
95965,NTC,LMPP,G1
557052,G13,LMPP,G2M
10274,G13,LMPP,S
73442,AZD,MEP1,S
107134,AZD,LMPP,G2M
142110,AZD,LMPP,S
84271,G13,LMPP,S
284054,AZD,CMP,G2M
