,Cells.all_samples.data.
996,69_47_84
997,69_47_91
998,69_47_96
999,69_48_04
1000,69_48_05
1001,69_48_14
1002,69_48_29
1003,69_48_30
1004,69_48_36
1005,69_48_60
1006,69_48_64
1007,69_48_68
1008,69_48_73
1009,69_48_80
1010,69_48_82
1011,69_49_15
1012,69_49_21
1013,69_49_42
1014,69_49_43
1015,69_49_63
1016,69_49_81
1017,69_49_87
1018,69_49_89
1019,69_50_17
1020,69_50_19
1021,69_50_28
1022,69_50_33
1023,69_50_42
1024,69_50_56
1025,69_50_76
1026,69_50_80
1027,69_50_95
1028,69_51_07
1029,69_51_23
1030,69_51_28
1031,69_51_36
1032,69_51_38
1033,69_51_40
1034,69_51_79
1035,69_51_81
1036,69_52_23
1037,69_52_42
1038,69_52_50
1039,69_52_59
1040,69_52_66
1041,69_52_71
1042,69_52_75
1043,69_52_84
1044,69_52_94
1045,69_53_13
1046,69_53_20
1047,69_53_33
1048,69_53_49
1049,69_53_56
1050,69_53_57
1051,69_53_72
1052,69_53_85
1053,69_53_92
1054,69_53_94
1055,69_54_02
1056,69_54_27
1057,69_54_32
1058,69_54_35
1059,69_54_43
1060,69_54_58
1061,69_54_65
1062,69_54_90
1063,69_55_34
1064,69_55_39
1065,69_55_50
1066,69_55_54
1067,69_55_74
1068,69_55_91
1069,69_56_01
1070,69_56_05
1071,69_56_18
1072,69_56_29
1073,69_56_35
1074,69_56_55
1075,69_56_87
1076,69_57_07
1077,69_57_12
1078,69_57_27
1079,69_57_54
1080,69_57_57
1081,69_57_68
1082,69_57_74
1083,69_57_77
1084,69_58_08
1085,69_58_16
1086,69_58_17
1087,69_58_24
1088,69_58_44
1089,69_58_57
1090,69_58_70
1091,69_58_72
1092,69_58_83
1093,69_59_11
1094,69_59_35
1095,69_59_52
1096,69_59_53
1097,69_59_60
1098,69_59_61
1099,69_59_74
1100,69_59_90
1101,69_59_92
1102,69_60_05
1103,69_60_19
1104,69_60_26
1105,69_60_38
1106,69_60_43
1107,69_60_49
1108,69_60_51
1109,69_60_56
1110,69_60_96
1111,69_61_02
1112,69_61_09
1113,69_61_17
1114,69_61_18
1115,69_61_22
1116,69_61_26
1117,69_61_33
1118,69_61_40
1119,69_61_51
1120,69_61_53
1121,69_61_55
1122,69_61_61
1123,69_61_80
1124,69_61_95
1125,69_62_01
1126,69_62_02
1127,69_62_08
1128,69_62_18
1129,69_62_31
1130,69_62_36
1131,69_62_37
1132,69_62_46
1133,69_62_49
1134,69_62_53
1135,69_62_58
1136,69_62_66
1137,69_62_72
1138,69_63_14
1139,69_63_20
1140,69_63_40
1141,69_63_57
1142,69_63_74
1143,69_63_88
1144,69_63_93
1145,69_63_96
1146,69_64_11
1147,69_64_13
1148,69_64_28
1149,69_64_58
1150,69_64_60
1151,69_64_69
1152,69_64_80
1153,69_64_84
1154,69_64_92
1155,69_64_93
1156,69_64_94
1157,69_64_96
1158,69_65_10
1159,69_65_11
1160,69_65_16
